ID,Created_at,Location,text
3,5/18/2011 13:26,42.22717 93.33772,this convention filled with technology could be better don't plan on leaving anytime soon
3,5/10/2011 9:22,42.18881 93.35642,4 orang top scorer skrg  3 di antara nya pake adidas F50 adizero  Lightest fastest deadliest.
3,5/14/2011 9:22,42.22479 93.35922,Nike 'gana' el Mundial al patrocinador oficial Adidas // y eso que sus figuras fueron un fracaso rotundo...
3,5/6/2011 9:22,42.2469 93.32527,Positiiff    mau nabung beli kaos adidas aslii muller .. * basii bgt baru nabung skrg ya  hahaha
3,5/19/2011 9:22,42.2354 93.35642,I kick it like Adidas
3,5/12/2011 9:22,42.27167 93.42951,adidas vs puma en managment tv. Muy interesante !
3,5/4/2011 9:22,42.29319 93.28173,Old head walked in with a kangol on backwards and to the side 2 gold braclets gold watch gold necklace prada shades adidas suit off the
3,5/13/2011 17:21,42.2838 93.47745,unsure if I will ever feel comfortable flying again... Looking at a plane that head first in the dirt
3,5/18/2011 7:18,42.2699 93.42632,My secretary smells like gucci mmmmmmmm
3,5/9/2011 7:18,42.22331 93.3728,Talkin bout christmas dinner with my momma  I'm excited for it now &lt;3 hehe
3,5/1/2011 7:18,42.21624 93.48623,Up and Running  going to be sharing some insight from my experience as an email marketer. Tweeting more soon.
3,5/9/2011 7:18,42.28818 93.42432,Gon in 60secs is a BAD ... Talkin bout mans hackle ... My days ... If eye-tay an cartier was ea they wud be chokin on der 1dips ... Giv
3,5/6/2011 7:18,42.2469 93.34524,Somethins gotta give b4 I looose my mind o_O
4,5/20/2011 20:28,42.2183 93.38957,Christian has caught a pneumonia home is where they are staying for their sake
4,5/5/2011 7:22,42.24513 93.46506,These old people behind me thinkk that starbucks is the greatest thing ever haha!
4,5/20/2011 7:22,42.2926 93.25497,Had Starbucks three times today...
4,5/13/2011 7:22,42.16877 93.40755,Skinny Cinnamon Dolce Latte from Starbucks  making this long ass day more tolerable #christmasinacup
4,5/5/2011 7:22,42.24189 93.49262,Got starbucks and got all my school supplies. Its been a good weekend but schools tomorrow :'(
4,5/12/2011 7:22,42.21211 93.38398,9. Lemon Cake from starbucks
4,5/11/2011 7:22,42.22095 93.28413,Were like starbucks on steroids haha
4,5/15/2011 7:22,42.23982 93.35323,Preciso urgentemente de Starbucks.
4,5/18/2011 7:22,42.22213 93.35682,Yessss pumpkin spice lateess are back at starbucks  therefore it's
4,5/11/2011 7:22,42.25309 93.31608,The Move Might Be Starbucks ;pp
4,5/3/2011 7:22,42.20651 93.21383,is at starbucks  where is everyone else??
4,5/8/2011 7:22,42.28877 93.41953,Starbucks then hectors house:)
4,5/12/2011 7:22,42.23746 93.36241,[inaudible]...bc i don't care as much abt my purity
5,5/7/2011 22:34,42.21122 93.34404,No sabia que venia Train al Pop Music festival   ya me veo cantando  Heeey  Soul Sister
5,5/20/2011 17:20,42.28995 93.39436,chocolate infusions! truffles! lovely sunday
5,5/16/2011 17:20,42.25781 93.40155,Beautifulsaint is making chocolate brownies...yummiiieee!!! :) halla if u want a square its only free today..happy sunday ya'll.
5,4/30/2011 17:20,42.29997 93.51099,Lazy Sunday while Ms gone to work lol! Duvet day on the settee watching hollyoaks n eating chocolate puddin yumyum
5,5/7/2011 17:20,42.22714 93.37599,I really want some chocolate cake.
5,5/9/2011 17:20,42.23894 93.35283,Starbucks tall latte with vanilla & chocolate :-)
5,5/2/2011 17:21,42.28818 93.22981,Tonight is goin to be an everso lovely night indeed. With sum dark chocolate  cuddles nd an all well just awesome chilled nite wif zee b
5,5/13/2011 18:24,42.28759 93.46444,I can't believe a plane fall out of they sky total destruction by the airport
5,5/11/2011 14:09,42.23687 93.32886,I just havent been my tweetin self lately
5,5/19/2011 14:09,42.21388 93.38078,spending the day with my bestie &lt;3
5,5/8/2011 14:09,42.26783 93.48663,oh my love! but how beautiful you are in your pajamas?So beautiful.. But you are always beautiful!because are my love
5,5/10/2011 14:09,42.24336 93.27294,Ill get your heart racing in my skin tight jeans be a teenage dream tonight.
5,5/5/2011 14:09,42.24218 93.33246,When I get married my man better have lots of boys cuz I got 5 girls on my bridesmaid list! Lol
5,5/2/2011 14:09,42.22243 93.37519,Maybe it's my laptop since it bounces around so crazily half the time. I can't even delete it. #whatever Moving on....
12,5/11/2011 7:52,42.22732 93.34706,I like the stuff I am seeing at the Sham Wow convention didn't see this coming...
12,5/4/2011 15:27,42.19383 93.31688,LETTER; Hudson River Rail Tunnel
12,5/20/2011 15:27,42.22243 93.35323,LETTER; Juvenile Detention
12,5/8/2011 15:27,42.24041 93.50061,OP-ED CONTRIBUTOR; A Scorecard For Calls
12,5/17/2011 15:27,42.23157 93.33965,EDITORIAL; Protecting School Reform in D.C.
12,5/6/2011 15:27,42.27579 93.44749,EDITORIAL; The Foreclosure Crises
12,5/12/2011 15:27,42.2242 93.37919,I.H.T. OP-ED CONTRIBUTOR; Smothered by Settlements
12,5/12/2011 15:27,42.28287 93.237,LETTER; How Title Insurance Helps
12,5/1/2011 15:27,42.21004 93.3708,EDITORIAL; For Senator and Governor in Connecticut
